user,item
0,33519
0,33352
0,32762
0,79797
0,72148
0,85449
0,77069
0,77258
0,73106
0,77597
0,48744
0,80693
0,39602
0,76056
0,69819
0,66546
0,39697
0,24590
0,28236
0,22009
0,26730
0,59679
1,81667
1,77261
1,58617
1,81016
1,78300
1,48280
1,28888
1,74957
1,73842
1,74911
1,63872
1,76297
1,68406
2,39175
2,47546
2,71960
2,52047
2,68395
2,81822
2,56797
2,46247
2,52304
2,60727
2,65385
2,66854
2,24589
2,77952
2,21150
2,56462
2,69765
2,59328
2,17613
2,26603
2,18297
2,14195
2,26513
2,20911
2,52606
2,37202
3,53712
3,29100
3,79895
3,57473
3,75383
3,77148
3,60344
3,57540
3,61255
3,68679
4,73084
4,72118
4,70218
4,19248
4,69390
4,23230
4,50259
4,25872
4,66026
4,45526
4,18223
4,12639
4,49919
4,28833
5,51971
5,39930
5,28970
5,78659
5,73775
5,13714
5,72228
5,65192
5,58087
5,38553
6,66848
6,67912
6,81246
6,80962
6,81987
6,63863
6,36316
6,69113
6,37310
6,56444
6,70083
6,77690
6,51098
6,38031
6,58254
7,79425
7,73382
7,43248
7,24367
7,31151
7,1106
7,74085
7,61325
7,74372
7,61610
7,46077
7,24379
7,65438
8,68564
8,50111
8,64404
8,74706
8,28200
8,71276
8,77547
8,61048
8,67546
8,36891
8,61984
8,61358
8,52476
8,44966
8,78297
8,66836
8,52764
8,51979
8,61419
8,64106
8,68823
8,57731
8,52304
8,48226
8,72346
8,32422
8,85060
8,1841
8,79772
8,56442
8,68406
8,30471
8,77353
8,60315
8,28901
8,35915
8,70044
8,40752
8,11945
9,43799
9,1028
9,74345
9,65244
9,65968
9,74708
9,58529
9,52559
9,40680
9,24574
9,75640
9,62972
10,66204
10,54924
10,67036
10,47804
10,83000
10,65196
10,64515
10,7279
10,47540
10,59679
10,51822
11,12856
11,70369
11,15556
11,20396
11,12704
11,48453
11,22070
11,36245
11,42196
11,23151
11,41950
11,11381
11,32348
11,4873
11,5701
11,36127
11,50704
12,30758
12,78271
12,84984
12,36618
12,32006
12,38642
12,38606
12,45284
12,27418
12,58596
12,38262
12,60300
12,42467
12,3985
13,68406
13,68031
13,69946
13,38533
13,47319
13,68941
13,63763
13,67440
13,58831
13,62682
13,50854
14,2062
14,76681
14,84808
14,20663
14,34094
14,5856
14,30220
14,54455
14,82593
14,74274
14,26592
14,35507
14,76862
14,25687
14,42076
14,85000
15,50414
15,37401
15,76578
15,68110
15,83939
15,59397
15,73256
15,66534
15,33731
15,70345
15,44667
15,64429
15,80665
15,65197
15,25647
15,52385
15,76518
15,26771
15,70908
15,28153
15,71342
15,67476
15,66455
15,68605
15,24724
15,48890
16,59986
16,80413
16,74064
16,69435
16,52846
16,76363
16,27223
16,58301
16,56415
16,77069
16,68529
17,58212
17,37844
17,66698
17,68800
17,75487
17,27581
17,64926
17,82707
17,77991
17,42255
17,40063
17,5207
17,52605
17,34523
17,70940
17,7455
17,57184
17,42120
17,8889
17,31992
17,74915
17,67875
17,57948
17,28250
17,79903
17,7700
18,73332
18,72811
18,67081
18,66869
18,28733
18,76591
18,79487
18,67305
18,64116
