item,category
33519,6426
33352,6427
32762,6427
79797,1665
72148,1665
85449,6426
77069,1665
77258,6426
73106,6427
77597,6426
48744,6426
80693,1665
39602,562
76056,6426
69819,1665
66546,6426
39697,6426
24590,6426
28236,6426
22009,4280
26730,6426
59679,1665
81667,6261
77261,6512
58617,6423
81016,6261
78300,4282
48280,6261
28888,6183
74957,6261
73842,4520
74911,1665
63872,6261
76297,4520
68406,6261
39175,6261
47546,6261
71960,4284
52047,6261
68395,4284
81822,1665
56797,6261
46247,6185
52304,4284
60727,6261
65385,6261
66854,1665
24589,6261
77952,4282
21150,6261
56462,4279
69765,4280
59328,6261
17613,6261
26603,6261
18297,6177
14195,6261
26513,6261
20911,4280
52606,1665
37202,6261
53712,6952
29100,7146
79895,6261
57473,6261
75383,6261
77148,6952
60344,6261
57540,6261
61255,6261
68679,4284
73084,1516
72118,6261
70218,6261
19248,4569
69390,5920
23230,3787
50259,6261
25872,4569
66026,6261
45526,4569
18223,4569
12639,4569
49919,6261
28833,5954
51971,4419
39930,6300
28970,6261
78659,6261
73775,6261
13714,4419
72228,4520
65192,6261
58087,6300
38553,4419
66848,6261
67912,6261
81246,6261
80962,4280
81987,6261
63863,6426
36316,4284
69113,6261
37310,6261
56444,6261
70083,6261
77690,6261
51098,4284
38031,6261
58254,6261
79425,6426
73382,8112
43248,6426
24367,6423
31151,4281
1106,8113
74085,4521
61325,4281
74372,8113
61610,1665
46077,6426
24379,1665
65438,1665
68564,4281
50111,5166
64404,1665
74706,1665
28200,4292
71276,1665
77547,6300
61048,1665
67546,4281
36891,4292
61984,6261
61358,6261
52476,6423
44966,4292
78297,6261
66836,4284
52764,4284
51979,6423
61419,1665
64106,4284
68823,4284
57731,4521
52304,4284
48226,4283
72346,4281
32422,4283
85060,1665
1841,4284
79772,1665
56442,6261
68406,6261
30471,4284
77353,6261
60315,6261
28901,4284
35915,4283
70044,6261
40752,4284
11945,5166
43799,3787
1028,5154
74345,3787
65244,4281
65968,6512
74708,4281
58529,4520
52559,3787
40680,4281
24574,4283
75640,3787
62972,7146
66204,1665
54924,1665
67036,1665
47804,1665
83000,1665
65196,1665
64515,1665
7279,6261
47540,1665
59679,1665
51822,1665
12856,5838
70369,8824
15556,6448
20396,5819
12704,6932
48453,6554
22070,8824
36245,8824
42196,6432
23151,8178
41950,6554
11381,6542
32348,6183
4873,6448
5701,6554
36127,6183
50704,6183
30758,6806
78271,4284
84984,4284
36618,4284
32006,6261
38642,6432
38606,6432
45284,6261
27418,6423
58596,4284
38262,6423
60300,6426
42467,6423
3985,7208
68406,6261
68031,6261
69946,6261
38533,4281
47319,6261
68941,6261
63763,4292
67440,6261
58831,1665
62682,4282
50854,6261
2062,4284
76681,4281
84808,4520
20663,4520
34094,4284
5856,4520
30220,4520
54455,4284
82593,4281
74274,4520
26592,4520
35507,4520
76862,4520
25687,4520
42076,4520
85000,4284
50414,4521
37401,4281
76578,6261
68110,4284
83939,6261
59397,1665
73256,6261
66534,6261
33731,4281
70345,4521
44667,562
64429,4279
80665,562
65197,6261
25647,4521
52385,4521
76518,562
26771,4284
70908,6261
28153,4521
71342,4281
67476,1665
66455,4281
68605,4281
24724,4280
48890,4281
59986,12399
80413,1665
74064,1665
69435,1665
52846,1598
76363,1665
27223,4282
58301,6261
56415,6261
77069,1665
68529,4282
58212,4281
37844,6736
66698,6427
68800,6736
75487,6427
27581,862
64926,6736
82707,6427
77991,6736
42255,6427
40063,5410
5207,5410
52605,6512
34523,6509
70940,6736
7455,6736
57184,6736
42120,6736
8889,6509
31992,6427
74915,6736
67875,6427
57948,6427
28250,6736
79903,6736
7700,6736
73332,6261
72811,6261
67081,4521
66869,4521
28733,6261
76591,367
79487,4521
67305,6261
64116,4292
37915,6261
77980,4281
43061,6426
66873,4281
55503,6426
26104,6426
42985,6426
25864,6426
10925,6426
8154,6426
11772,7341
63124,7339
24249,6426
38724,6426
55314,4280
29143,4280
69275,6957
27574,562
73110,4287
40451,6427
31770,4283
79371,4287
57236,11123
54126,5953
47472,4283
82103,6427
7445,11123
69005,4287
38568,8179
55557,562
74755,6261
84768,6261
64531,4281
63133,6261
7625,6952
83036,4282
56954,4281
82997,6261
71967,6261
13570,4281
66286,6426
58918,4281
66446,4281
65674,6261
30705,6261
16010,6406
8665,4280
514,6261
3373,6281
80503,6261
69842,6261
48367,6261
77555,6261
80028,6261
4141,6408
58963,4281
61741,6261
65306,1226
64472,6261
47343,562
18436,4280
40444,4280
18025,6406
29705,1
17718,6406
59790,6261
43957,6408
70169,6261
81806,6261
84012,6261
35165,4280
36141,1665
36061,4282
66813,4281
60221,4281
69206,4281
61635,4292
53404,4282
82244,4281
39356,4283
42876,4288
68568,1665
41148,4521
65625,4281
58166,6261
46518,6261
62263,6261
65082,6261
72546,4520
69993,1665
68647,6261
74678,6261
35157,6261
35854,4284
61515,6261
48120,6261
57031,4520
63638,6261
54173,6261
22317,5920
51570,6261
84799,4281
65955,6261
26295,856
29026,5920
57027,6261
32861,6261
82595,6261
5531,6143
75502,6261
38192,6261
71960,4284
7062,9457
24453,6423
9794,10876
74344,6423
8361,5293
34406,6423
35645,10876
19685,6423
7755,6426
16469,5293
56181,7341
8459,8056
2572,4570
36362,6423
10418,5293
22050,4282
26175,6423
62177,6261
1563,6379
49081,4521
18634,7353
5703,6423
58401,6261
6531,6379
63666,8056
71753,7205
14723,4517
6453,9494
78072,7205
16852,4571
69676,4281
27444,4312
56479,4281
32955,10141
33006,4532
28494,6423
53492,7205
37641,7205
18132,5920
84430,6261
40725,6261
69580,10488
2663,4532
44290,9713
5065,773
52401,6407
40706,10488
5374,4284
76762,6261
54878,6246
31864,1665
66732,6261
60925,6261
13568,5920
67945,6261
83620,6261
27890,5920
28931,5920
30519,6519
73429,6261
25620,3190
84788,4284
54610,4280
42622,4322
47052,4280
15483,11298
59659,5443
39542,4280
555,6172
71318,4281
22927,11972
70388,5779
78588,4288
68624,4282
75111,4281
39093,4282
46025,5485
59729,6957
77010,562
64966,562
77585,4281
78312,4281
80931,6300
72118,6261
82003,6261
30590,4301
39543,4301
59608,4301
28219,4301
56757,6426
79959,6261
37609,4301
47697,4281
53823,4301
63680,4301
20503,4301
68196,4301
60119,4301
37196,4301
48338,4301
11365,4301
65757,4301
31345,4301
34540,6423
22258,4301
67240,6952
42477,562
42117,562
4056,6432
31081,4282
84830,6421
21843,6806
3050,5406
9295,6421
49591,6952
21111,6438
47592,6952
2781,5406
73695,6952
51680,4521
59128,4284
26645,4283
52326,6736
40599,6736
67709,4520
48069,6736
69594,4282
56997,4284
45118,4280
58774,4521
66683,4281
44774,6432
27327,6427
21370,5515
75816,4281
80901,1665
8362,6427
42684,4281
27523,6427
48890,4281
59503,4281
78235,4281
45830,7205
18394,4384
5210,6438
76031,6261
63155,4280
55571,7205
46020,6261
70218,6261
38319,4281
59585,4280
59236,6261
70761,6261
62027,6261
31764,910
80917,4284
73675,6261
44390,1665
14125,7208
50861,4520
31760,6508
48051,6508
24038,6512
50768,6512
39304,6512
4332,7210
11949,6508
72604,6261
63004,1665
79840,6261
49138,6261
76139,6261
24495,4283
43451,5957
46789,6261
59749,6261
58171,6261
40105,6261
56611,6261
28574,7554
21736,6952
59759,6261
68177,1665
76897,4281
61552,6261
39167,4280
55550,6261
32131,6261
50123,6261
46310,731
40570,4278
71206,4281
51804,1665
45258,1665
47715,6952
34403,6261
33159,6952
61587,6261
40849,9686
85162,6261
21554,1665
28473,6185
79147,6185
54134,6185
34740,6423
71698,6423
28968,3787
57213,6185
14159,6423
49495,6423
67354,6185
46749,2252
55096,6423
61330,2252
59983,4520
36232,2252
54591,4520
31994,1665
24720,7205
83106,1665
73056,562
13955,10924
24859,7205
47376,562
73474,1665
36659,11791
2613,4517
26888,6686
56309,6416
33383,4281
37049,4281
48099,4281
46273,4281
64199,4281
10779,7184
45634,4281
45248,6261
60057,1665
58081,4281
46345,4282
43014,4280
81850,1665
72166,1665
67962,1665
67342,1665
78025,1665
36896,1665
79615,4287
54194,1665
78007,1665
79081,1665
63227,4282
71151,1665
60558,4282
74848,4282
72265,1665
76859,1665
51200,4280
23014,4282
34256,4282
51120,4282
48614,4282
73885,4282
67243,4282
44796,10717
78588,4288
53581,4520
54829,4520
7872,1535
50798,4516
82127,4517
70992,4521
54970,4520
57499,1535
29690,4283
49588,6736
1794,4732
26436,4520
76322,6261
30639,1535
70543,4520
54311,1535
13169,192
5211,4526
63274,877
57853,4526
50931,4526
13412,6857
68131,4505
5700,5166
68045,4290
40982,877
54273,5166
80872,4505
11901,4526
46840,4526
36903,4526
49675,4526
466,6539
58688,6185
45660,6185
32021,530
84739,6183
64788,1166
57088,6182
82077,6177
32827,6093
44450,10701
57391,6185
61444,2254
32008,531
30160,4289
3365,8929
268,5281
26279,5989
83296,10758
62476,5281
19227,10159
3057,9264
61171,531
27352,5281
2983,5281
51900,5989
19532,5989
53782,9264
69948,8929
15705,2468
38981,7381
34111,4289
47308,7999
79615,4287
50766,6261
37380,6261
72581,4505
71380,1665
84594,1665
36623,6427
17355,8000
75907,562
66465,4281
58855,6426
34101,6426
44049,6261
40781,6426
24235,6158
70489,1665
71967,6261
62498,1665
77199,1665
82997,6261
74944,6261
83418,6261
67744,1665
61291,6261
66990,6261
81125,6261
35587,6261
81354,6261
74524,6261
46746,6261
10712,6423
63022,5539
63009,5539
6045,5539
4765,5281
42901,6423
63033,5539
16363,2468
60623,6426
67611,6857
84980,6423
13412,6857
70371,6261
64033,4283
56043,6427
43542,1535
30637,5954
79686,4288
58900,1665
66588,6261
14799,1535
46784,4385
51806,6261
6262,1013
79952,12399
41738,470
48250,5539
50044,4411
10157,1013
10108,6715
71648,11091
4015,6566
34551,5539
59986,12399
45539,11091
54554,6261
61782,6261
73476,1665
69711,4520
39181,1665
68167,6261
66991,4281
76363,1665
80996,1665
55036,5330
38641,6261
60913,6183
17995,6534
10589,4585
52683,4281
17323,4585
36734,12154
35119,5467
37174,6534
5692,7146
70058,12154
19466,6715
70599,4282
59695,6426
54695,4281
68143,6534
19886,6183
39261,6183
45835,5906
7101,8993
10589,4585
33070,7146
48349,6183
58742,6183
51112,6183
70430,4520
29234,6183
68369,4521
68964,6261
25316,10717
42132,6084
68037,6261
56847,4282
53880,4520
63559,6261
71343,4282
75367,347
76747,8179
76816,4288
6056,6092
22077,7397
15917,6667
33868,11136
62913,9494
46304,9445
27264,4806
23678,11134
9486,9084
49257,11136
68001,7205
7731,8999
31735,11136
2045,8999
2928,7397
54329,9315
12663,9445
1452,8999
61871,7397
49197,7397
47669,9494
39315,7205
4134,10725
74543,7397
57417,9494
9135,10978
22771,599
52175,1665
60318,4280
35451,1665
71322,4280
55156,4288
74215,4281
27105,4283
47061,4280
71408,4280
50065,4281
35971,4282
22288,4283
75629,4280
27179,4282
37827,4281
45106,4280
64509,1665
72346,4281
68406,6261
69163,562
81237,6261
70568,4282
46063,4267
3896,2486
48032,6426
38896,5954
68418,4282
63332,4281
34928,4283
31538,4282
57524,6426
36755,4282
57744,4282
27676,4282
40684,4282
58571,4282
64827,4282
63523,4282
80420,4521
75615,4282
77291,6426
69603,6183
84691,4282
56128,4521
61440,4520
32955,10141
51539,6261
36955,856
79677,1665
62290,122
56462,4279
67304,6261
49109,6261
65914,856
38357,6261
58953,6261
63111,6261
54462,6261
48736,856
33286,6261
45335,7146
65347,6261
68381,6261
74141,6261
26282,5166
42034,5166
77529,5166
56435,4284
57807,4520
84152,4282
80868,6261
73026,5166
40764,6261
70027,6261
83403,6261
55333,6261
62398,6261
45359,6261
65413,6261
5295,6261
22727,6261
20840,4526
77089,6261
60662,6261
41290,4526
22231,6261
72793,6261
80438,6261
81354,6261
66924,6300
63559,6261
84657,856
41864,6421
