user,item
0,0
0,4228
0,4318
0,8845
0,9682
0,10655
0,4176
0,4163
0,4115
0,27
0,11
0,4210
1,10566
1,4671
1,4409
1,4236
1,4232
1,10577
1,5930
1,4169
1,1408
1,58
1,46
1,5258
1,30
1,20
1,9217
1,0
1,10580
1,5283
2,5219
2,5202
2,4203
2,10641
2,4163
2,1442
2,871
2,52
2,10666
2,10640
2,8846
2,8768
2,8760
2,8757
2,8736
2,7404
2,6181
2,5406
2,5398
2,5253
2,5363
2,8883
2,5336
2,5310
2,0
2,9682
3,4539
3,5190
3,8674
3,4210
3,4163
3,4312
3,8691
3,8781
3,8862
3,4242
3,9695
3,4239
3,4211
3,10579
3,5182
3,4104
3,1405
3,10666
3,5363
3,0
3,4130
3,9682
4,8845
4,0
4,5259
4,4169
4,10662
4,8806
4,8489
4,5295
4,4176
4,4173
4,1987
4,4155
4,4126
4,3548
4,2724
4,2692
4,2685
4,2672
4,2198
4,4539
4,4191
4,5182
4,18
4,5256
4,4648
4,4408
4,4229
4,34
4,9217
4,9695
4,4192
4,17
4,10579
5,0
5,20
5,4228
5,4169
5,4210
5,9217
5,4163
5,4281
5,5239
5,8702
5,8709
5,8737
5,3385
5,78
5,61
5,49
5,44
5,39
5,14
5,8696
5,8694
5,4115
5,4173
5,9695
5,8862
5,10662
6,4118
6,1409
6,4182
6,4231
6,4722
6,5274
6,5333
6,5337
6,5338
6,1441
6,4239
6,34
6,8799
6,10579
6,4176
6,6101
6,5363
6,1408
6,0
6,4671
7,9682
7,3363
7,4216
7,8862
7,871
7,8744
7,4210
7,5265
7,873
7,5221
7,0
8,8675
8,8489
8,8701
8,4136
8,4135
8,8750
8,8782
8,8847
8,4134
8,4133
8,4132
8,4131
8,5363
8,8848
8,8850
8,4129
8,4128
8,8862
8,8851
8,8799
8,8853
8,4648
8,8855
8,4125
8,10580
8,4119
8,4117
8,4242
8,4114
8,4113
8,4138
8,4139
8,4140
8,8697
8,4318
8,49
8,5359
8,10641
8,5347
8,5280
8,5215
8,5360
8,5184
8,5361
8,5362
8,4884
8,4621
8,4614
8,8856
8,4246
8,4539
8,4244
8,5397
8,8806
8,4243
8,4240
8,4193
8,5563
8,4145
8,7401
8,7560
8,4142
8,8222
8,9695
8,4245
8,9154
8,4116
8,4130
8,1552
8,1444
8,1443
8,4126
8,1440
8,10655
8,1439
8,9681
8,1438
8,1428
8,1415
8,1406
8,4155
8,973
8,601
8,26
8,597
8,531
8,0
8,8696
8,5182
8,10666
8,10651
8,10670
8,55
8,54
8,10646
8,10639
8,8694
8,4115
8,1442
8,4236
8,10589
8,4111
