iid_target,iid_neighbors,ratings
399135782,080410753X,1
399135782,679748083,1
1558746218,1558744150,1
1558746218,1558746226,1
1558746218,1558744290,1
440234743,385493800,1
440234743,99245027,1
452264464,452261368,1
452264464,452269652,1
345402871,679446486,1
684823802,002086910X,1
375759778,375507876,1
449005615,345465083,1
449005615,375502912,1
60168013,60922532,1
61099686,61099708,1
61099686,60179341,1
671888587,671867091,1
671888587,671741187,1
671888587,671673661,1
425182908,425186768,1
440223571,385315031,1
842342702,842329129,1
842342702,842329110,1
60914068,60154969,1
156047624,553204548,1
380715899,151836000,1
671623249,067168390X,1
671623249,067162461X,1
671623249,671795899,1
679810307,440238560,1
679865691,440208378,1
679865691,440210917,1
679865691,440219418,1
345260317,394410459,1
345260317,345346297,1
042511774X,042516313X,1
804106304,067972768X,1
804106304,749336021,1
804106304,399134204,1
804106304,749399570,1
1853262404,1853261904,1
1853262404,1853260371,1
1853260053,1853260673,1
1853260053,1853260444,1
1853260053,1853260231,1
1853260053,1853260096,1
1853260053,1853260282,1
1853260053,185326086X,1
1853260053,1853260355,1
1853260053,1853262420,1
1853260053,1853260185,1
140067477,525244581,1
394895894,394825993,1
1569871213,590486101,1
1569871213,140366849,1
1569871213,140621490,1
340767936,340792655,1
743403843,312280750,1
316769487,316769533,1
8445071408,8445071769,1
8445071408,8445071777,1
671867156,684810395,1
312252617,312980159,1
312252617,312932790,1
312261594,312979886,1
316973742,316097500,1
067976397X,679436448,1
671864769,671896768,1
671864769,067174139X,1
671864769,671787551,1
671864769,671869108,1
671864769,671684027,1
671864769,671733893,1
671864769,671865714,1
671864769,671794264,1
671864769,671896776,1
671864769,067170561X,1
671864769,671019163,1
671864769,671743880,1
671864769,671709704,1
671864769,671882678,1
671864769,671742906,1
671864769,671708368,1
671864769,671794388,1
671864769,671775715,1
671864769,671760513,1
671864769,671891510,1
671864769,067179325X,1
671864769,671704273,1
671864769,671797476,1
671864769,671521489,1
671864769,671024442,1
671864769,671891529,1
671864769,671795678,1
671864769,671674382,1
671864769,671744682,1
671864769,067179566X,1
671864769,067177056X,1
671864769,671894536,1
671864769,671547798,1
671864769,671867296,1
671864769,671568329,1
671864769,671748084,1
671864769,671008870,1
671864769,671024434,1
671864769,671500147,1
671864769,671870866,1
446608653,446603309,1
446608653,446607193,1
446608653,446519804,1
446608653,446527017,1
446608653,446604232,1
446608653,446519782,1
446608653,446527033,1
446612545,316969680,1
446612545,446615145,1
446612545,1586212869,1
446612618,446529788,1
451208080,039914868X,1
553584383,553802461,1
671027360,743486226,1
671027360,671027352,1
671027360,743535774,1
671027360,552150738,1
316735736,316089699,1
316735736,316782262,1
316735736,316678104,1
743439740,743202961,1
671042858,684867621,1
671042858,671045857,1
743249992,743225708,1
451205197,451205650,1
451205197,451208366,1
451205197,451202791,1
451205197,451207432,1
60929790,038001503X,1
60929790,60531045,1
60929790,60919655,1
60976845,006019362X,1
61099325,61000175,1
61099325,61000043,1
61099325,61099155,1
61099325,61092606,1
61099325,006109918X,1
446601640,446516538,1
446601640,1558008764,1
446601640,749317647,1
440949424,440999197,1
440949424,440983568,1
440949424,440918642,1
140252800,451191951,1
140252800,517703394,1
044651747X,446603600,1
60801263,006092988X,1
60801263,60001941,1
61030147,60193506,1
446527165,446610100,1
446527165,1570429685,1
671461494,345391802,1
671461494,671527215,1
671461494,671746065,1
671461494,671701592,1
671461494,517542099,1
671461494,671664964,1
671461494,345418913,1
039575514X,1566194881,1
451206673,525946446,1
330332775,014028009X,1
330332775,330375253,1
