政策名称,施行时间,制定机关,发文字号,包含规模的句子,包含家庭农场的句子
把农村改革引向深入,中国共产党中央委员会,1987.01.22,中发〔1987〕5号,已经形成一定规模、实现了集约经营并切实增产的，可以根据承包者的要求，签定更长期的承包合同。\这些新的经济联合，既突破了个体与家庭的局限性，获得适度的规模效益，又不改变财产关系、承认各自的独立利益，因而体现了自愿互利原则。\对于某些为了扩大经营规模，雇工人数超过这个限度的私人企业，也应当采取允许存在，加强管理，兴利抑弊，逐步引导的方针。\而个体经济的存在，必将不断提出扩大经营规模的要求。\  从长远看，过小的经营规模会影响农业进一步提高积累水平和技术水平。\目前，在多数地方尚不具备扩大经营规模的条件，应大力组织机耕、灌溉、植保、籽种等共同服务，以实现一定规模效益。\在京、津、沪郊区、苏南地区和珠江三角洲，可分别选择一两个县，有计划地兴办具有适度规模的家庭农场或合作农场，也可以组织其他形式的专业承包，以便探索土地集约经营的经验。\       本篇引用的法规   中央法规   中华人民共和国土地管理法   引用本篇的法规 案例 论文   行政法规   国务院批转国家体改委、商业部、财政部关于深化国营商业体制和供销合作社体制改革意见的通知   部门规章   国家体改委、商业部、财政部关于深化供销合作社体制改革的意见   其他规范性文件   中共中央、国务院关于一九九七年农业和农村工作的意见   地方法规规章   河北省人民政府关于建立健全农业支持保护体系的意见   天津市人民政府关于一九八七年改善农村人民生活十项工作的决定   案例与裁判文书   北流市北流镇丛义村十三组、蓝枝琨等侵害集体经济组织成员权益纠纷民事二审民事判决书   蔡朝兴、威宁县海边街道西海社区居民委员会承包地征收补偿费用分配纠纷再审审查与审判监督民事裁定书   刘肖与威宁彝族回族苗族自治县人民政府资源行政管理:土地行政管理(土地)一审行政裁定书   刘铁英、刘艳土地承包经营权纠纷二审民事判决书   蔡朝兴、威宁县海边街道西海社区居民委员会承包地征收补偿费用分配纠纷二审民事裁定书   文秀英、威宁县海边街道西海社区居民委员会承包地征收补偿费用分配纠纷二审民事裁定书   柳州市某某区某某镇某某村某某屯第某村民小组诉颜某娜等承包地征收补偿费用分配纠纷二审民事判决书   黄春海、黄春锦等与黄世林等土地承包经营权确认纠纷一审民事判决书   更多  法学期刊   论农地规模经营的权利结构   改革开放以来中国乡民土地权利的体制塑造   “三权分置”制度改革：地方实践、政策动因及法律回应   公民经济自由在中国宪法中的重新确立     ©北大法宝：（www.pkulaw.com）专业提供法律信息、法学知识和法律软件领域各类解决方案。,在京、津、沪郊区、苏南地区和珠江三角洲，可分别选择一两个县，有计划地兴办具有适度规模的家庭农场或合作农场，也可以组织其他形式的专业承包，以便探索土地集约经营的经验。
中共中央关于推进农村改革发展若干重大问题的决定,中国共产党中央委员会,2008.10.15,中发〔2008〕16号,废除人民公社，确立以家庭承包经营为基础、统分结合的双层经营体制，全面放开农产品市场，取消农业税，对农民实行直接补贴，初步形成了适合我国国情和社会生产力发展要求的农村经济体制；粮食生产不断跃上新台阶，农产品供应日益丰富，农民收入大幅增加，扶贫开发成效显著，依靠自己力量稳定解决了十三亿人口吃饭问题；乡镇企业异军突起，小城镇蓬勃发展，农村市场兴旺繁荣，农村劳动力大规模转移就业，亿万农民工成为产业工人重要组成部分，中国特色工业化、城镇化、农业现代化加快推进，切实巩固了新时期工农联盟；农村社会主义民主政治建设和精神文明建设不断加强，社会事业加速发展，显著提高了广大农民思想道德素质、科学文化素质和健康素质；农村党的建设不断加强，以村党组织为核心的村级组织配套建设全面推进，有效夯实了党在农村的执政基础。\加强土地承包经营权流转管理和服务，建立健全土地承包经营权流转市场，按照依法自愿有偿原则，允许农民以转包、出租、互换、转让、股份合作等形式流转土地承包经营权，发展多种形式的适度规模经营。\有条件的地方可以发展专业大户、家庭农场、农民专业合作社等规模经营主体。\实行最严格的节约用地制度，从严控制城乡建设用地总规模。\加快发展畜牧业，支持规模化饲养，加强品种改良和疫病防控。\适应农业规模化、精准化、设施化等要求，加快开发多功能、智能化、经济型农业装备设施，重点在田间作业、设施栽培、健康养殖、精深加工、储运保鲜等环节取得新进展。\大规模实施土地整治，搞好规划、统筹安排、连片推进，加快中低产田改造，鼓励农民开展土壤改良，推广测土配方施肥和保护性耕作，提高耕地质量，大幅度增加高产稳产农田比重。,有条件的地方可以发展专业大户、家庭农场、农民专业合作社等规模经营主体。\全党同志要紧密团结在以胡锦涛同志为总书记的党中央周围，锐意改革，加快发展，在推进中国特色社会主义伟大事业进程中努力开创农村工作新局面！       引用本篇的法规 案例 论文   法律   全国人民代表大会农业与农村委员会关于第十一届全国人民代表大会第一次会议主席团交付审议的代表提出的议案审议结果的报告   司法解释   最高人民法院关于进一步做好2009年人民法庭工作的通知   最高人民法院印发《关于为推进农村改革发展提供司法保障和法律服务的若干意见》的通知   部门规章   农业部、人力资源和社会保障部、教育部、科学技术部关于实施农业技术推广服务特设岗位计划的意见   新闻出版总署关于印发《2012年农家书屋重点出版物推荐目录》的通知(七)   农业部关于加快推进乡镇农产品质量安全监管公共服务机构建设的意见   农业部关于加强基层农技推广工作制度建设的意见   农业部关于印发《全国农业和农村经济发展第十二个五年规划》的通知   农机工业发展规划(2011～2015年)   新闻出版总署关于印发《2010－2011年农家书屋重点出版物推荐目录》的通知(一)   国土资源部、农业部关于加强和完善永久基本农田划定有关工作的通知   更多  其他规范性文件   中共中央组织部、农业部、人力资源和社会保障部等关于印发《农村实用人才和农业科技人才队伍建设中长期规划(2010—2020年)》的通知   中华全国律师协会关于律师为“三农”提供优质法律服务、促进农村经济、社会和谐发展的指导意见   中国残疾人联合会关于印发2009年全国残疾人康复工作要点的通知   中共中央、国务院关于2009年促进农业稳定发展农民持续增收的若干意见   国家档案局、中央档案馆关于印发全国档案局长馆长会议文件的通知   中共中央宣传部、中央文明办、教育部等关于认真贯彻党的十七届三中全会精神深入开展文化科技卫生“三下乡”活动的通知   中共国土资源部党组关于认真学习贯彻党的十七届三中全会精神的通知   共青团中央关于学习贯彻党的十七届三中全会精神在推进农村改革发展中充分发挥共青团组织作用的决议   更多  地方法规规章   喀什地区行政公署办公室关于认真做好2017年度政策性农业保险工作的通知   西藏自治区人民政府关于加强和改进金融服务“三农”工作的意见   临沂市人民政府关于印发临沂市集体建设用地使用权流转管理办法的通知   安徽省交通运输厅关于对省十二届人大一次会议第573号代表建议的答复   甘肃省人民政府关于印发《甘肃省土地整治规划(2011—2015年)》的通知   巴中市人民政府办公室关于印发巴中市集体建设用地整治与集中使用暂行规定的通知   渭南市人民政府办公室关于印发渭南市建设陕西现代果业强市规划(2013―2020年)的通知   阳泉市人民政府办公厅关于推进农村土地承包经营权流转的实施意见   更多  案例与裁判文书   赵士文、临沂市罗庄区褚墩镇碑住四村村民委员会合同纠纷民事二审民事判决书   北京市顺义区南法信镇刘家河村村民委员会与闫福成租赁合同纠纷一审民事判决书   谢名湖、长冈乡大塘村中迳组返还原物纠纷民事二审民事判决书   李大忠、李大奎财产损害赔偿纠纷二审民事判决书   长冈乡大塘村中迳组与谢名湖返还原物纠纷一审民事判决书   李大忠与李大奎名誉权纠纷一审民事判决书   闫海月与北京市延庆区永宁镇王家山村村民委员会等委托合同纠纷二审民事裁定书   胡全柱与北京市延庆区永宁镇王家山村股份经济合作社等委托合同纠纷二审民事裁定书   更多  中外条约   中华人民共和国关于《儿童权利公约》执行情况的第三、四次合并报告   法学期刊   城镇规划区内集体经营性建设用地入市的制度难题与现实障碍之消解   “三块地”改革背景下集体建设用地使用权的再体系化   国防投资产生的知识产权配置和运用问题研究   家庭农场立法的相关问题探讨   中国共产党农地制度百年变革的规律、经验与模式   集体经营性建设用地入市范围的政策逻辑与法制因应   集体土地入市法律问题再探讨   新时期土地承包经营权退出内部引导机制研究   更多  律所实务   浅析集体经营性建设用地入市之示范文本   我国光伏项目用地政策的发展与完善   集体土地租赁住房政策及实务初探   集体建设用地租赁住房项目之合规运作探析——以北京地区集租房项目为视角   集体经营性建设用地入市相关问题 ——兼议《土地管理法实施条例（修订草案）》（征求意见稿）   一文读懂集体土地入市的实践操作   《土地管理法》修正案视野下的农村集体经营性建设用地改革   多划基本农田还存在吗？——风电开发建设法律实务专题（二）   更多    ©北大法宝：（www.pkulaw.com）专业提供法律信息、法学知识和法律软件领域各类解决方案。
农业部关于做好当前农村土地承包经营权流转管理和服务工作的通知,农业部(已撤销) 机构沿革,2008.12.05,农经发〔2008〕10号,平稳有序地流转土地承包经营权，有利于完善农民土地承包经营权权能，发展好实现好农民土地承包权益；有利于合理配置和充分利用土地资源，促进适度规模经营和现代农业发展；有利于解除农村劳动力非农就业的后顾之忧，促进农村劳动力转移，防止土地抛荒和粗放经营。\但必须看到，随着土地承包经营权流转规模扩大、速度加快、流转对象和利益关系日趋多元，迫切需要加强管理和服务，以防止发生违背农民意愿强行流转、侵害农民土地承包权益、改变土地用途出现“非农化”与“非粮化”以及流转不规范引发纠纷等问题。\流转形式要严格遵循法律和政策规定，采取法定的转包、出租、转让、互换、股份合作等方式进行，有条件的地方可以发展专业大户、家庭农场、农民专业合作社等规模经营主体。\正确引导和扶持规模经营主体发展粮食生产，促使流转土地向种粮方向发展。\   二○○八年十二月五日      本篇引用的法规   中央法规   中共中央关于推进农村改革发展若干重大问题的决定   农村土地承包经营权流转管理办法   引用本篇的法规 案例 论文   地方法规规章   福建省农业厅关于宣布一批文件失效的通告   平凉市人民政府办公室关于积极稳妥推进农村土地承包经营权流转工作的通知   滁州市人民政府关于印发滁州市促进农村土地承包经营权流转发展农业适度规模经营实施意见的通知   庆阳市人民政府关于印发《庆阳市农村土地承包经营权流转实施方案》的通知   呼和浩特市人民政府关于推进农村土地承包经营权流转工作的意见   辽阳市人民政府批转市农委关于加快农村土地承包经营权流转促进规模经营发展的意见的通知   长治市人民政府办公厅关于认真做好农村土地承包经营权流转管理工作的通知   广东省农业厅、省工商行政管理局关于推行《广东省农村土地承包经营权流转合同》示范文本的通知   更多  案例与裁判文书   开平市百合镇茅溪村乐兴经济合作社、周荣悦等农村土地承包合同纠纷民事二审民事判决书   台山市台城街道办事处长岭村东湖经济合作社与林文伟渔业承包合同纠纷一案民事二审判决书   吴宝亮、山东荣昌育种股份有限公司农村土地承包合同纠纷二审民事判决书   洛宁县东宋镇程家庄村民委员会第三村民组与程小伟、李廷军农村土地承包合同纠纷一审民事判决书   吴宝亮与山东荣昌育种股份有限公司农村土地承包合同纠纷一审民事判决书   台山市台城街道办事处长岭村东湖经济合作社与林文伟渔业承包合同纠纷一案民事一审判决书   宜阳县韩城镇秦王村民委员会与吉线朋、李平召农村土地承包合同纠纷一审民事判决书   韦克新、陆忠林确认合同无效纠纷二审民事判决书   更多  法学期刊   发包方土地经营权流转合同终止权研究   土地经营权所涉无权占有类型区分与法律适用   三权分置之法权关系厘定：政策解读与学理考量   农村承包地协议流转中存在的问题及其法治对策   多元的物权法源及其适用规律   农村土地承包经营权转让合同的效力     ©北大法宝：（www.pkulaw.com）专业提供法律信息、法学知识和法律软件领域各类解决方案。,流转形式要严格遵循法律和政策规定，采取法定的转包、出租、转让、互换、股份合作等方式进行，有条件的地方可以发展专业大户、家庭农场、农民专业合作社等规模经营主体。
农业部关于推进农业经营体制机制创新的意见,农业部(已撤销) 机构沿革,2009.08.11,农经发〔2009〕11号,土地承包经营权流转是农民享有土地承包经营权、完善土地承包经营权权能的重要体现，是发展多种形式适度规模经营的重要途径。\促进农户家庭经营采用先进科技和生产手段，增加技术、资本等生产要素投入，支持有条件的地方发展专业大户、家庭农场、农民专业合作社等规模经营主体。\积极会同有关部门认真落实财政、税收、金融等扶持政策，努力扩大财政支持规模，完善税收优惠政策，强化金融服务，不断健全政策支持体系。\组织开展农民专业合作社示范社建设行动，力争用3至5年的时间，培育一批经营规模大、服务能力强、产品质量优、民主管理好的农民专业合作社，发挥其典型引路、示范带动作用。,促进农户家庭经营采用先进科技和生产手段，增加技术、资本等生产要素投入，支持有条件的地方发展专业大户、家庭农场、农民专业合作社等规模经营主体。
国务院办公厅转发发展改革委、农业部关于加快转变东北地区农业发展方式建设现代农业指导意见的通知,国务院办公厅 机构沿革,2010.11.30,国办发〔2010〕59号,进一步提高东北地区畜禽养殖业规模化、专业化、标准化和养殖加工一体化水平，严格质量管理，建设肉蛋奶和绒毛生产基地。\采取投资补助或以奖代补形式，重点支持标准化规模养殖场（小区）建设，用水用电执行农业水电价格。\把农产品加工业作为发展县域经济和增加农民收入的重要途径，充分发挥东北地区工农业优势，提高农产品精深加工水平，延伸产业链，培育产业集群，实现生产规模化、质量标准化、产品品牌化。\     五、创新现代农业经营机制  （十五）推进土地适度规模经营。\积极培育发展专业大户、家庭农场、农民专业合作社等土地规模经营主体，提高农业组织化程度。\着力培育一批市场开拓能力强、经营规模大、辐射面广的大型龙头企业，支持企业加大科研开发和技术改造力度，打造知名品牌。\要科学规划，支持东北地区建设一批集市场、物流、检验、信息于一体的特色农产品集散地，突出区域优势特色，强化专业化规模经营，增强辐射带动能力。\培育一批具有较高知名度的东北绿色和有机食品品牌，扶持创建若干个上规模、标准化的原料产地，鼓励开展农产品地理标志登记保护，把东北地区建设成我国最大的绿色和有机食品生产基地。\辽宁、吉林、黑龙江和内蒙古四省（区）人民政府要结合本地情况，积极开展现代农业发展综合试点，在推进土地适度规模经营、统筹整合强农惠农资金、发展农业专业合作组织、推动农业综合机械化、完善金融手段、创新农业产业化经营机制、发挥农垦引领示范作用等方面，探索实践行之有效的措施和方法并及时总结经验，有关部门要积极给予指导和支持。,积极培育发展专业大户、家庭农场、农民专业合作社等土地规模经营主体，提高农业组织化程度。
农业部办公厅关于下发农村土地承包经营权流转规范化管理和服务试点工作方案及试点名单的通知,农业部(已撤销) 机构沿革,2012.08.16,农办经〔2012〕23号,  附件：1．农村土地承包经营权流转规范化管理和服务试点工作方案  2．农村土地承包经营权流转规范化管理和服务试点地区名单   农业部办公厅2012年8月16日    附件1：   农村土地承包经营权流转规范化管理和服务试点工作方案    近年来，随着工业化、城镇化进程加快和农村劳动力大量转移，农村土地承包经营权流转速度明显加快，对发展适度规模经营、推动现代农业发展和增加农民收入发挥了重要作用。\坚持农村基本经营制度不动摇，稳定和完善农村土地承包关系，保障农民土地承包权益；遵循市场经济规律，完善土地承包经营权流转市场，建立健全农村土地承包经营权流转服务平台，引导土地承包经营权向专业大户、家庭农场、农民专业合作社等集中，扶持发展多种形式的适度规模经营，激发农业经营体制的内部活力和现代农业建设的持久动力，保障国家粮食安全，推动现代农业发展，促进农民收入增加。\     二、主要内容  (一)探索建立农业经营能力审查制度，规范规模经营主体流转土地行为  针对规模经营主体租赁使用农户承包地，探索建立农业经营能力审查制度和土地流转风险防范机制，推广使用规模经营主体租赁农户承包地示范合同，重点研究解决一些经营主体闲置浪费流转耕地资源影响农业生产、恶意囤积土地和改变土地用途等行为，以及因规模经营主体没有及时支付租金而损害承包农产的土地流转收益等问题解决办法和政策。\  (三)引导农村土地承包经营权向专业大户、家庭农场和农民专业合作社流转，发展多种形式的适度规模经营  适应现代农业发展要求，坚持以家庭承包经营为基础、统分结合的双层经营体制，重点培育以专业大户、家庭农场为主的适度规模经营主体，发展农产间多种形式的联合与合作，不断完善和创新农业经营体制机制。\具体包括：探索建立专业大户、家庭农场的认定标准、登记办法和管理方式；探索实行新增农业补贴向专业大户、家庭农场倾斜以及优先承担涉农基础建设项目，税收减免、金融保险、人才培养等扶持政策；农民专业合作社通过土地承包经营权流转发展适度规模经营的，应探索完善合作机制和经营方式的有效途径，防止因违背农民意愿、管理制度不健全和经营不善带来的风险；建立统计监测指标体系、加强业务指导和管理服务，密切掌握规模经营主体发展中的新情况，妥善解决新问题，及时总结有益经验。\各试点单位要结合当地实际，强化政策引导，加大支持力度，尤其在建立土地流转风险保证金、健全土地流转服务体系、培育适度规模经营主体等方面，出台具体扶持措施。\要深刻领会中央关于加强土地流转管理、发展适度规模经营的重要精神，准确把握法律和政策界限，稳妥开展试点。,坚持农村基本经营制度不动摇，稳定和完善农村土地承包关系，保障农民土地承包权益；遵循市场经济规律，完善土地承包经营权流转市场，建立健全农村土地承包经营权流转服务平台，引导土地承包经营权向专业大户、家庭农场、农民专业合作社等集中，扶持发展多种形式的适度规模经营，激发农业经营体制的内部活力和现代农业建设的持久动力，保障国家粮食安全，推动现代农业发展，促进农民收入增加。\  (三)引导农村土地承包经营权向专业大户、家庭农场和农民专业合作社流转，发展多种形式的适度规模经营  适应现代农业发展要求，坚持以家庭承包经营为基础、统分结合的双层经营体制，重点培育以专业大户、家庭农场为主的适度规模经营主体，发展农产间多种形式的联合与合作，不断完善和创新农业经营体制机制。\具体包括：探索建立专业大户、家庭农场的认定标准、登记办法和管理方式；探索实行新增农业补贴向专业大户、家庭农场倾斜以及优先承担涉农基础建设项目，税收减免、金融保险、人才培养等扶持政策；农民专业合作社通过土地承包经营权流转发展适度规模经营的，应探索完善合作机制和经营方式的有效途径，防止因违背农民意愿、管理制度不健全和经营不善带来的风险；建立统计监测指标体系、加强业务指导和管理服务，密切掌握规模经营主体发展中的新情况，妥善解决新问题，及时总结有益经验。
农业部关于做好2013年农业农村经济工作的意见,农业部(已撤销) 机构沿革,2013.01.09,农发〔2013〕1号,继续增加农业“四补贴”规模，继续实施农业防灾减灾稳产增产关键技术补助和土壤有机质提升补助。\扩大粮棉油糖高产创建、“菜篮子”产品生产专项规模，增加产粮（油）大县奖励资金，落实生猪调出大县奖励政策，逐步扩大种粮大户补贴试点范围，增加农民合作社发展资金。\扩大棉油糖高产创建规模，培育壮大棉花、糖料等作物的优势产业带，加强天然橡胶等热作生产基地建设。\统筹蔬菜、水果等园艺产品生产布局，稳定面积、提高品质、注重营销，深入推进园艺作物标准园创建，加大南方冬季瓜菜北运基地建设力度，启动北方城市冬季设施蔬菜规模开发试点。\大力发展畜禽标准化规模养殖，推进畜禽标准化养殖示范创建。\坚持依法自愿有偿原则，引导土地承包经营权有序流转，鼓励和支持承包土地向专业大户、家庭农场、农民合作社流转，发展多种形式的适度规模经营。\坚持以家庭承包经营为基础，以发展多种形式的适度规模经营和培育新型经营主体为重点，创新农业生产经营体制，不断提高农业生产组织化程度。\扶持农民合作社加快发展，鼓励农民兴办专业合作和股份合作等多元化、多类型合作社，逐步扩大农村土地整理、农业综合开发、农田水利建设、农技推广等涉农项目由合作社承担的规模。\着力推进高标准农田、特色农业园、规模养殖场、加工物流园区建设，发展壮大主导产业，发挥示范引领作用。\组织认定第三批示范区，推进示范区加强产学研合作，创新农业融资服务体制机制，探索农业新型经营体系建设模式，推动试点示范区率先突破经营规模小、投入分散、金融服务滞后等制约瓶颈。\鼓励引导社会力量参与规模化沼气生产厂建设和运营，支持企业参与农村沼气的后续服务，发展壮大农村沼气产业。\完善休渔禁渔制度，合理确定养殖容量，扩大人工鱼礁建设和水生生物资源增殖放流规模，开展海洋牧场和保护区建设。\大力发展高产、优质、高效、生态、安全农业，提高农业生产专业化、集约化水平，推动适当扩大经营规模，保持农产品价格合理水平，促进优势农产品出口，增加农业经营收益。,完善农业补贴办法，创新农业补贴方式，促进新增补贴向专业大户、家庭农场和农民合作社等新型经营主体倾斜，鼓励补贴与生产挂钩，有条件的地方与生态资源保护挂钩。\坚持依法自愿有偿原则，引导土地承包经营权有序流转，鼓励和支持承包土地向专业大户、家庭农场、农民合作社流转，发展多种形式的适度规模经营。\加快培育新型农业经营主体，加大对联户经营、专业大户、家庭农场、农民合作社等扶持力度。\开展家庭农场统计监测，鼓励有条件的地方建立家庭农场注册登记制度，制定扶持政策和管理服务办法。\   农业部2013年1月9日      本篇引用的法规   中央法规   中共中央、国务院关于加快发展现代农业进一步增强农村发展活力的若干意见   中华人民共和国农业技术推广法(2012修正)   国务院关于加强食品安全工作的决定   农业机械安全监督管理条例   中华人民共和国种子法(2004修正)   引用本篇的法规 案例 论文   部门规章   农业部办公厅关于开展全国农村集体资金资产资源清理情况督导检查工作的通知   农业部办公厅关于印发《2013农药监管与法制建设年活动方案》的通知   农业部办公厅关于组织主食加工业示范企业申报工作的通知   农业部办公厅关于开展家庭农场调查工作的通知   农业部办公厅关于贯彻落实2013年农业农村经济工作重要举措分工的通知   农业部办公厅关于印发2013年农村经营管理工作要点的通知     ©北大法宝：（www.pkulaw.com）专业提供法律信息、法学知识和法律软件领域各类解决方案。
国务院办公厅关于落实中共中央国务院关于加快发展现代农业进一步增强农村发展活力若干意见有关政策措施分工的通知,国务院办公厅 机构沿革,2013.02.07,国办函〔2013〕34号,  （三）关于“加大新一轮‘菜篮子’工程实施力度，扩大园艺作物标准园和畜禽水产品标准化养殖示范场创建规模”的问题，由农业部会同发展改革委、财政部、商务部等部门负责落实。\  （二十五）关于“继续增加农业补贴资金规模，新增补贴向主产区和优势产区集中，向专业大户、家庭农场、农民合作社等新型生产经营主体倾斜”、“扩大农机具购置补贴规模，推进农机以旧换新试点”和“完善农资综合补贴动态调整机制，逐步扩大种粮大户补贴试点范围”的问题，由财政部会同发展改革委、农业部、水利部、林业局、粮食局等部门负责落实。\  （三十一）关于“扩大林权抵押贷款规模，完善林业贷款贴息政策”的问题，由人民银行、银监会、财政部会同林业局等部门负责落实。\  （三十四）关于“抓紧研究现有土地承包关系保持稳定并长久不变的具体实现形式，完善相关法律制度”和“坚持依法自愿有偿原则，引导农村土地承包经营权有序流转，鼓励和支持承包土地向专业大户、家庭农场、农民合作社流转，发展多种形式的适度规模经营”的问题，由农业部会同中央农办、法制办、国土资源部、林业局等部门研究提出落实意见。\  （四十二）关于“逐步扩大农村土地整理、农业综合开发、农田水利建设、农技推广等涉农项目由合作社承担的规模”的问题，由国土资源部、财政部、水利部、农业部会同科技部、林业局等部门负责落实。,  （二十五）关于“继续增加农业补贴资金规模，新增补贴向主产区和优势产区集中，向专业大户、家庭农场、农民合作社等新型生产经营主体倾斜”、“扩大农机具购置补贴规模，推进农机以旧换新试点”和“完善农资综合补贴动态调整机制，逐步扩大种粮大户补贴试点范围”的问题，由财政部会同发展改革委、农业部、水利部、林业局、粮食局等部门负责落实。\  （三十四）关于“抓紧研究现有土地承包关系保持稳定并长久不变的具体实现形式，完善相关法律制度”和“坚持依法自愿有偿原则，引导农村土地承包经营权有序流转，鼓励和支持承包土地向专业大户、家庭农场、农民合作社流转，发展多种形式的适度规模经营”的问题，由农业部会同中央农办、法制办、国土资源部、林业局等部门研究提出落实意见。\  （三十七）关于“创造良好的政策和法律环境，采取奖励补助等多种办法，扶持联户经营、专业大户、家庭农场”的问题，由农业部会同财政部、发展改革委、法制办等部门研究提出落实意见。
中共中央、国务院关于加快发展现代农业进一步增强农村发展活力的若干意见,中国共产党中央委员会 国务院,2012.12.31,中发〔2013〕1号,扩大粮棉油糖高产创建规模，在重点产区实行整建制推进，集成推广区域性、标准化高产高效模式。\加大新一轮“菜篮子”工程实施力度，扩大园艺作物标准园和畜禽水产品标准化养殖示范场创建规模。\继续增加农业补贴资金规模，新增补贴向主产区和优势产区集中，向专业大户、家庭农场、农民合作社等新型生产经营主体倾斜。\落实好对种粮农民直接补贴、良种补贴政策，扩大农机具购置补贴规模，推进农机以旧换新试点。\扩大林权抵押贷款规模，完善林业贷款贴息政策。\坚持依法自愿有偿原则，引导农村土地承包经营权有序流转，鼓励和支持承包土地向专业大户、家庭农场、农民合作社流转，发展多种形式的适度规模经营。\按照规模化、专业化、标准化发展要求，引导农户采用先进适用技术和现代生产要素，加快转变农业生产经营方式。\逐步扩大农村土地整理、农业综合开发、农田水利建设、农技推广等涉农项目由合作社承担的规模。\不提倡、不鼓励在城镇规划区外拆并村庄、建设大规模的农民集中居住区，不得强制农民搬迁和上楼居住。,继续增加农业补贴资金规模，新增补贴向主产区和优势产区集中，向专业大户、家庭农场、农民合作社等新型生产经营主体倾斜。\坚持依法自愿有偿原则，引导农村土地承包经营权有序流转，鼓励和支持承包土地向专业大户、家庭农场、农民合作社流转，发展多种形式的适度规模经营。\创造良好的政策和法律环境，采取奖励补助等多种办法，扶持联户经营、专业大户、家庭农场。\充分利用各类培训资源，加大专业大户、家庭农场经营者培训力度，提高他们的生产技能和经营管理水平。\让我们紧密团结在以习近平同志为总书记的党中央周围，奋力拼搏，锐意进取，求真务实，再创农村改革发展新的辉煌！       本篇引用的法规   中央法规   中华人民共和国农民专业合作社法   中华人民共和国土地管理法(2004修正)   引用本篇的法规 案例 论文   行政法规   国务院关于同意建立全国农民合作社发展部际联席会议制度的批复   国务院办公厅关于落实中共中央国务院关于加快发展现代农业进一步增强农村发展活力若干意见有关政策措施分工的通知   部门规章   国家工商行政管理总局关于开展保护地理标志商标专用权专项行动的通知   工商总局关于开展保护地理标志商标专用权专项行动的通知   住房城乡建设部办公厅、农业部办公厅、国土资源部办公厅关于加快实施以船为家渔民上岸安居工程的通知   国家工商行政管理总局、农业部关于进一步做好农民专业合作社登记与相关管理工作的意见   农业部、国家发展和改革委员会、财政部等关于印发《国家农民专业合作社示范社评定及监测暂行办法》的通知   国家发展改革委、财政部、农业部等关于印发2013年中晚稻最低收购价执行预案的通知   国家林业局关于加快林业专业合作组织发展的通知   住房和城乡建设部、文化部、财政部关于做好2013年中国传统村落保护发展工作的通知   更多  地方法规规章   贵州省教育厅关于省政协十二届一次会议第323号委员提案的答复   南宁市农业委员会对南宁市十四届人大三次会议第63号建议的答复   兰州市人民政府办公厅关于成立兰州市集体土地(含宅基地)使用权及农房所有权确权登记发证工作领导小组的通知   安徽省人力资源和社会保障厅关于省十二届人大七次会议第385号代表建议答复的函   新晃侗族自治县人民政府办公室关于培育发展家庭农场的实施意见   贵州省财政厅关于省十二届人大四次会议第338号建议的答复   拉萨市人民政府办公厅关于开展农村集体土地所有权确权登记发证工作的通知   昆明市人民政府办公厅关于加快发展家庭农场的实施意见   更多  案例与裁判文书   张德州、化州市江湖镇江湖村生财路经济合作社等确认合同无效纠纷民事一审民事判决书   张德州、化州市江湖镇江湖村生财路经济合作社等确认合同无效纠纷民事一审民事判决书   张德州、化州市江湖镇江湖村生财路经济合作社等确认合同无效纠纷民事一审民事判决书   张德州、化州市江湖镇江湖村生财路经济合作社等确认合同无效纠纷民事一审民事判决书   张德州、化州市江湖镇江湖村生财路经济合作社等确认合同无效纠纷民事一审民事判决书   张德州、化州市江湖镇江湖村生财路经济合作社等确认合同无效纠纷民事一审民事判决书   来宾市兴宾区人民政府、兰春权、兰秀根行政登记二审行政判决书   兰秀根与来宾市兴宾区人民政府资源行政管理:土地行政管理(土地)一审行政判决书   更多    ©北大法宝：（www.pkulaw.com）专业提供法律信息、法学知识和法律软件领域各类解决方案。
农业部关于切实抓好粮食生产保障国家粮食安全的通知,农业部(已撤销) 机构沿革,2014.01.20,农农发〔2014〕1号,加强对新型经营主体的示范引导，推动出台市场准入、税费减免、资金支持、人才引进等扶持政策，发展适度规模经营。,坚持家庭经营在农业中的基础性地位，推进家庭经营、集体经营、合作经营、企业经营等共同发展，扶持发展专业大户、家庭农场、农民合作社、农业企业、社会化服务组织等多种经营主体。
